Antecedent,Consequent,support,confidence,coverage,lift,count,conviction,cosine
"{ï..Body_Movement=null,Cheeks=null} ", {Eyebrows=Raised},0.086622074,0.237396884,0.364882943,0.988602621,259,0.996411114,0.167096774
{Eyebrows=Raised} , {Cheeks=null},0.230769231,0.961002786,0.240133779,0.988101213,690,0.703248925,0.235013624
{Cheeks=null} , {Eyebrows=Raised},0.230769231,0.237276479,0.972575251,0.988101213,690,0.996253819,0.235013624
{ï..Body_Movement=TWIST+sr} , {CA=null},0.033110368,0.642857143,0.051505017,0.98774042,99,0.977658863,0.049475262
{CA=null} , {ï..Body_Movement=TWIST+sr},0.033110368,0.050873587,0.65083612,0.98774042,99,0.999334725,0.049475262
"{CA=null,Eyebrows=Raised} ", {Cheeks=null},0.160869565,0.96007984,0.167558528,0.987152243,481,0.686989967,0.164275956
{Head_Movement=TILT+sl} , {Cheeks=null},0.031438127,0.959183673,0.03277592,0.986230806,94,0.671906355,0.03228022
"{ï..Body_Movement=SHOULDERS+hunched,CA=null} ", {Cheeks=null},0.031103679,0.958762887,0.032441472,0.985798154,93,0.665050167,0.031936813
{Eyegaze=+sl & +dn} , {Cheeks=null},0.098996656,0.957928803,0.103344482,0.98494055,296,0.651865192,0.101335159
{Cheeks=null} , {Eyegaze=+sl & +dn},0.098996656,0.101788171,0.972575251,0.98494055,296,0.998267323,0.101335159
"{Cheeks=null,Eye_Aperture=null} ", {ï..Body_Movement=LEAN+forward},0.057525084,0.144903117,0.396989967,0.984682546,172,0.997363955,0.118213058
"{Cheeks=null,Head_Movement=TURN+sr} ", {Eyebrows=null},0.071571906,0.468271335,0.152842809,0.984621161,214,0.986244959,0.128528529
{Eye_Aperture=WD} , {Cheeks=null},0.089966555,0.957295374,0.093979933,0.98428926,269,0.64219621,0.092123288
{Cheeks=null} , {Eye_Aperture=WD},0.089966555,0.092503439,0.972575251,0.98428926,269,0.998373003,0.092123288
{Head_Movement=TURN+sr} , {Eyebrows=null},0.072575251,0.467672414,0.155183946,0.983361826,217,0.985135336,0.130017975
{Eyebrows=null} , {Head_Movement=TURN+sr},0.072575251,0.152601969,0.475585284,0.983361826,217,0.996953052,0.130017975
"{Eye_Aperture=null,Eyebrows=null} ", {ï..Body_Movement=null},0.084615385,0.363505747,0.23277592,0.982714452,253,0.989954476,0.163331181
"{ï..Body_Movement=LEAN+forward,Eyebrows=Raised} ", {Cheeks=null},0.035785953,0.955357143,0.037458194,0.982296375,107,0.614314381,0.036731892
{Head_Movement=TURN+sl} , {Cheeks=null},0.113043478,0.95480226,0.118394649,0.981725845,338,0.606772575,0.115595075
{Cheeks=null} , {Head_Movement=TURN+sl},0.113043478,0.116231087,0.972575251,0.981725845,338,0.997551892,0.115595075
"{Eyebrows=Furrowed,Head_Movement=TURN+sl} ", {Cheeks=null},0.034782609,0.95412844,0.036454849,0.981033025,104,0.597859532,0.035702025
"{Eye_Aperture=null,Eyegaze=+sl & +dn} ", {Cheeks=null},0.053846154,0.952662722,0.056521739,0.979525976,161,0.579347826,0.05521262
"{CA=null,Head_Movement=TURN+sl} ", {Cheeks=null},0.066889632,0.952380952,0.070234114,0.979236261,200,0.575919732,0.068540096
"{Eye_Aperture=WD,Eyebrows=Raised} ", {Cheeks=null},0.046153846,0.951724138,0.048494983,0.978560926,138,0.56808409,0.047341338
"{ï..Body_Movement=LEAN+forward,Cheeks=null} ", {Eye_Aperture=null},0.057525084,0.398148148,0.144481605,0.978194711,172,0.985253409,0.116452268
"{Cheeks=null,Eyebrows=null} ", {Eyegaze=+sr},0.033110368,0.071635311,0.462207358,0.978034613,99,0.998267022,0.065912117
"{CA=null,Eyegaze=+sl & +dn} ", {Cheeks=null},0.058528428,0.951086957,0.061538462,0.977905777,175,0.560683761,0.059993144
{ï..Body_Movement=LEAN+sr} , {Eye_Aperture=null},0.039130435,0.397959184,0.098327759,0.977730451,117,0.984944164,0.083931133
{Eye_Aperture=null} , {ï..Body_Movement=LEAN+sr},0.039130435,0.096138044,0.407023411,0.977730451,117,0.997577379,0.083931133
"{Eye_Aperture=null,Head_Movement=TURN+sl} ", {Cheeks=null},0.05819398,0.950819672,0.061204013,0.977630956,174,0.557636566,0.059650326
"{ï..Body_Movement=LEAN+forward,CA=null} ", {Eye_Aperture=null},0.032441472,0.397540984,0.081605351,0.976702992,97,0.98426046,0.07111437
"{Eye_Aperture=null,Head_Movement=TILT+forward} ", {Cheeks=null},0.063210702,0.949748744,0.066555184,0.976529829,189,0.545752508,0.064770391
"{Eyebrows=null,Eyegaze=+dn} ", {Cheeks=null},0.04916388,0.948387097,0.051839465,0.975129787,147,0.531354515,0.050411523
"{Eye_Aperture=WD,Eyebrows=Raised} ", {CA=null},0.030769231,0.634482759,0.048494983,0.974873303,92,0.955259671,0.046023012
"{CA=null,Cheeks=null} ", {Head_Movement=TURN+sr},0.095986622,0.151132175,0.635117057,0.973890523,287,0.995226852,0.138246628
"{CA=null,Eye_Aperture=WD} ", {Cheeks=null},0.047491639,0.946666667,0.050167224,0.973360844,142,0.514214047,0.048696845
"{Cheeks=null,Eye_Aperture=null} ", {Head_Movement=TURN+sr},0.059866221,0.150800337,0.396989967,0.971752172,179,0.994837952,0.121603261
{ï..Body_Movement=LEAN+forward} , {Eye_Aperture=null},0.05819398,0.395454545,0.147157191,0.971576903,174,0.98086353,0.117329737
{Eye_Aperture=null} , {ï..Body_Movement=LEAN+forward},0.05819398,0.142974528,0.407023411,0.971576903,174,0.995119558,0.117329737
{ï..Body_Movement=TWIST+sl} , {Cheeks=null},0.033779264,0.943925234,0.035785953,0.970542107,101,0.489074693,0.034660261
"{Eyebrows=null,Head_Movement=TURN+sl} ", {Cheeks=null},0.049832776,0.943037975,0.052842809,0.96962983,149,0.481456708,0.051079877
"{Cheeks=null,Eyebrows=null} ", {CA=CA:BOY},0.041137124,0.089001447,0.462207358,0.967688462,123,0.996737869,0.080182529
"{Eye_Aperture=SQ,Eyebrows=null} ", {Cheeks=null},0.037123746,0.940677966,0.039464883,0.967203273,111,0.462302914,0.038078902
"{Eyebrows=Furrowed,Eyegaze=+sl & +dn} ", {Cheeks=null},0.031438127,0.94,0.033444816,0.96650619,94,0.457079153,0.032258065
"{Eyegaze=+dn,Head_Movement=TILT+forward} ", {Cheeks=null},0.030769231,0.93877551,0.03277592,0.965247172,92,0.44793757,0.031571723
"{CA=CA:BOY,Cheeks=null} ", {Eyebrows=null},0.041137124,0.458955224,0.089632107,0.965032433,123,0.969263061,0.078493937
"{Cheeks=null,Head_Movement=TURN+sr} ", {CA=null},0.095986622,0.628008753,0.152842809,0.96492609,287,0.938634665,0.13563327
{Head_Movement=TURN+sr} , {CA=null},0.097324415,0.627155172,0.155183946,0.963614576,291,0.936485781,0.137328929
{CA=null} , {Head_Movement=TURN+sr},0.097324415,0.149537513,0.65083612,0.963614576,291,0.993360749,0.137328929
{CA=CA:BOY} , {Eyebrows=null},0.042140468,0.458181818,0.091973244,0.963406214,126,0.967879509,0.080203692
{Eyebrows=null} , {CA=CA:BOY},0.042140468,0.088607595,0.475585284,0.963406214,126,0.996307135,0.080203692
"{Cheeks=null,Head_Movement=TURN+sr} ", {Eye_Aperture=null},0.059866221,0.391684902,0.152842809,0.962315411,179,0.974785255,0.119732441
{Eyegaze=+sl & +up} , {Cheeks=null},0.038795987,0.935483871,0.041471572,0.961862715,116,0.425083612,0.039780521
{ï..Body_Movement=LEAN+sl} , {Eyebrows=null},0.057859532,0.45646438,0.126755853,0.959795004,173,0.964821249,0.106265356
{Eyebrows=null} , {ï..Body_Movement=LEAN+sl},0.057859532,0.121659634,0.475585284,0.959795004,173,0.9941979,0.106265356
"{Cheeks=null,Eyebrows=null} ", {ï..Body_Movement=LEAN+sl},0.056187291,0.121562952,0.462207358,0.959032262,168,0.994088477,0.105461394
"{CA=null,Eye_Aperture=null} ", {Head_Movement=TURN+sr},0.039464883,0.148802018,0.265217391,0.958875071,118,0.992502415,0.103599649
"{ï..Body_Movement=LEAN+sl,Cheeks=null} ", {Eyebrows=null},0.056187291,0.455284553,0.123411371,0.957314214,168,0.962731493,0.103512015
{CA=CA:WOMAN} , {Cheeks=null},0.045150502,0.931034483,0.048494983,0.957287862,135,0.397658863,0.046264565
{Eyegaze=+dn} , {ï..Body_Movement=null},0.030100334,0.352941176,0.085284281,0.954153813,90,0.973791426,0.070810386
{ï..Body_Movement=null} , {Eyegaze=+dn},0.030100334,0.081374322,0.369899666,0.954153813,90,0.995743686,0.070810386
"{CA=CA:BOY,Cheeks=null} ", {Eye_Aperture=null},0.034782609,0.388059701,0.089632107,0.953408798,104,0.969010523,0.075307748
{Head_Movement=TURN+sr} , {Eye_Aperture=null},0.060200669,0.387931034,0.155183946,0.953092681,180,0.968806821,0.119920053
{Eye_Aperture=null} , {Head_Movement=TURN+sr},0.060200669,0.147904684,0.407023411,0.953092681,180,0.99145722,0.119920053
"{Cheeks=null,Eye_Aperture=null} ", {CA=CA:BOY},0.034782609,0.087615838,0.396989967,0.952623114,104,0.995224154,0.076583211
{Eyegaze=+sr} , {Eyebrows=null},0.033110368,0.452054795,0.073244147,0.950523091,99,0.957056856,0.064202335
"{Cheeks=null,Eyegaze=+sr} ", {Eyebrows=null},0.033110368,0.452054795,0.073244147,0.950523091,99,0.957056856,0.064202335
{Eyebrows=null} , {Eyegaze=+sr},0.033110368,0.069620253,0.475585284,0.950523091,99,0.99610493,0.064202335
{CA=CA:BOY} , {Eye_Aperture=null},0.035451505,0.385454545,0.091973244,0.947008292,106,0.964902733,0.076479076
{Eye_Aperture=null} , {CA=CA:BOY},0.035451505,0.087099425,0.407023411,0.947008292,106,0.994661172,0.076479076
"{CA=null,Eyebrows=null} ", {Head_Movement=TURN+sr},0.049498328,0.146825397,0.337123746,0.946137794,148,0.990203002,0.111782477
{Eyebrows=Furrowed} , {Eye_Aperture=null},0.105685619,0.384428224,0.274916388,0.944486762,316,0.963293984,0.183401045
{Eye_Aperture=null} , {Eyebrows=Furrowed},0.105685619,0.259654889,0.407023411,0.944486762,316,0.979385967,0.183401045
"{Cheeks=null,Eye_Aperture=null} ", {Eyebrows=Furrowed},0.103010033,0.259477675,0.396989967,0.94384215,308,0.97915159,0.181069959
"{Eye_Aperture=null,Head_Movement=TURN+sl} ", {CA=null},0.037458194,0.612021858,0.061204013,0.940362464,112,0.899957605,0.055528012
{Head_Movement=TURN+sl} , {Eyebrows=null},0.052842809,0.446327684,0.118394649,0.938480854,158,0.947157191,0.097651422
{Eyebrows=null} , {Head_Movement=TURN+sl},0.052842809,0.111111111,0.475585284,0.938480854,158,0.99180602,0.097651422
"{CA=null,Cheeks=null} ", {Eyegaze=+sr},0.043478261,0.068457083,0.635117057,0.934642362,130,0.994861144,0.065392354
"{Cheeks=null,Eyebrows=Furrowed} ", {Eye_Aperture=null},0.103010033,0.380246914,0.27090301,0.934213863,308,0.956794894,0.179173938
"{Cheeks=null,Head_Movement=TURN+sl} ", {Eyebrows=null},0.049832776,0.440828402,0.113043478,0.926917667,149,0.93784219,0.092489137
"{ï..Body_Movement=LEAN+sl,Eyebrows=null} ", {CA=null},0.034782609,0.601156069,0.057859532,0.923667342,104,0.875439872,0.051612903
{Eyegaze=+sl & +dn} , {CA=null},0.061538462,0.595469256,0.103344482,0.914929637,184,0.86313311,0.088845968
{CA=null} , {Eyegaze=+sl & +dn},0.061538462,0.094552929,0.65083612,0.914929637,184,0.990290374,0.088845968
{Eyegaze=+sr} , {CA=null},0.043478261,0.593607306,0.073244147,0.912068779,130,0.859178535,0.063882064
"{Cheeks=null,Eyegaze=+sr} ", {CA=null},0.043478261,0.593607306,0.073244147,0.912068779,130,0.859178535,0.063882064
{CA=null} , {Eyegaze=+sr},0.043478261,0.0668037,0.65083612,0.912068779,130,0.993098508,0.063882064
{Head_Movement=TURN+sl} , {CA=null},0.070234114,0.593220339,0.118394649,0.91147421,210,0.858361204,0.100478469
{CA=null} , {Head_Movement=TURN+sl},0.070234114,0.107913669,0.65083612,0.91147421,210,0.98825116,0.100478469
"{Cheeks=null,Head_Movement=TURN+sr} ", {ï..Body_Movement=null},0.051505017,0.336980306,0.152842809,0.911004626,154,0.950349349,0.109297374
"{Cheeks=null,Eyebrows=null} ", {Head_Movement=TURN+sl},0.049832776,0.107814761,0.462207358,0.910638802,149,0.988141602,0.093887839
"{ï..Body_Movement=null,Cheeks=null} ", {Head_Movement=TURN+sr},0.051505017,0.141154904,0.364882943,0.909597332,154,0.983665223,0.109921485
"{Cheeks=null,Head_Movement=TURN+sl} ", {CA=null},0.066889632,0.591715976,0.113043478,0.90916278,200,0.855198488,0.09596929
{Head_Movement=TURN+sr} , {ï..Body_Movement=null},0.052173913,0.336206897,0.155183946,0.908913762,156,0.949242062,0.110325318
{ï..Body_Movement=null} , {Head_Movement=TURN+sr},0.052173913,0.141048825,0.369899666,0.908913762,156,0.983543742,0.110325318
"{Cheeks=null,Eyegaze=+sl & +dn} ", {CA=null},0.058528428,0.591216216,0.098996656,0.908394906,175,0.854152962,0.084663764
"{ï..Body_Movement=LEAN+forward,Eyebrows=null} ", {CA=null},0.044147157,0.589285714,0.074916388,0.905428718,132,0.850138142,0.064769382
"{Cheeks=null,Head_Movement=TILT+forward} ", {Eyebrows=Furrowed},0.034113712,0.248175182,0.137458194,0.902729678,102,0.9644316,0.090185676
"{Cheeks=null,Eyegaze=+sl & +dn} ", {Eyebrows=null},0.042474916,0.429054054,0.098996656,0.902160071,127,0.918501514,0.07982401
"{Eye_Aperture=null,Eyegaze=+sl & +dn} ", {CA=null},0.033110368,0.585798817,0.056521739,0.900071152,99,0.842981366,0.049107143
"{ï..Body_Movement=LEAN+sl,Eye_Aperture=null} ", {CA=null},0.035117057,0.583333333,0.060200669,0.896282974,105,0.837993311,0.051954478
"{ï..Body_Movement=LEAN+sl,Cheeks=null} ", {CA=null},0.071906355,0.582655827,0.123411371,0.895241995,215,0.836632932,0.102380952
"{CA=null,Cheeks=null} ", {ï..Body_Movement=LEAN+sl},0.071906355,0.113217483,0.635117057,0.893193335,215,0.984733156,0.104217159
"{CA=null,Eyebrows=Furrowed} ", {Eye_Aperture=null},0.051170569,0.363420428,0.140802676,0.892873524,153,0.931504268,0.103030303
"{CA=null,Cheeks=null} ", {Eyegaze=+sl & +dn},0.058528428,0.092153765,0.635117057,0.891714426,175,0.987673335,0.086079685
{Eyegaze=+sl & +dn} , {Eyebrows=null},0.043812709,0.42394822,0.103344482,0.891424176,131,0.910360377,0.081875
{Eyebrows=null} , {Eyegaze=+sl & +dn},0.043812709,0.092123769,0.475585284,0.891424176,131,0.987640703,0.081875
"{CA=null,Eyebrows=null} ", {ï..Body_Movement=LEAN+forward},0.044147157,0.130952381,0.337123746,0.889880952,132,0.98135337,0.100303951
"{CA=null,Cheeks=null} ", {Head_Movement=TURN+sl},0.066889632,0.105318589,0.635117057,0.889555312,200,0.985384674,0.097418412
"{Cheeks=null,Eyebrows=null} ", {Eyegaze=+sl & +dn},0.042474916,0.091895803,0.462207358,0.88921829,127,0.98739277,0.081202046
"{Cheeks=null,Eyebrows=Furrowed} ", {Head_Movement=TILT+forward},0.034113712,0.125925926,0.27090301,0.888015374,102,0.981832096,0.090106007
{ï..Body_Movement=LEAN+sl} , {CA=null},0.073244147,0.577836412,0.126755853,0.887837035,219,0.82708194,0.103988604
{CA=null} , {ï..Body_Movement=LEAN+sl},0.073244147,0.112538541,0.65083612,0.887837035,219,0.983979798,0.103988604
{Head_Movement=TILT+forward} , {Eyebrows=Furrowed},0.034448161,0.242924528,0.14180602,0.883630583,103,0.95774284,0.090113736
{Eyebrows=Furrowed} , {Head_Movement=TILT+forward},0.034448161,0.125304136,0.274916388,0.883630583,103,0.981134147,0.090113736
"{Cheeks=null,Eyegaze=+sl & +dn} ", {ï..Body_Movement=null},0.032107023,0.324324324,0.098996656,0.876789991,96,0.932548495,0.073506891
"{Eye_Aperture=SQ,Eyebrows=Furrowed} ", {CA=null},0.040802676,0.570093458,0.071571906,0.875940102,122,0.812185546,0.05986261
"{Cheeks=null,Eyebrows=Raised} ", {Eye_Aperture=//},0.030100334,0.130434783,0.230769231,0.866666667,90,0.976923077,0.085714286
{Eyegaze=+sr & +dn} , {CA=null},0.038795987,0.563106796,0.068896321,0.865205201,116,0.799197324,0.05697446
{CA=null} , {Eyegaze=+sr & +dn},0.038795987,0.059609455,0.65083612,0.865205201,116,0.990124459,0.05697446
"{CA=null,Cheeks=null} ", {Eyegaze=+sr & +dn},0.037792642,0.059505003,0.635117057,0.863689116,113,0.990014494,0.056726908
"{CA=null,Eyebrows=null} ", {Head_Movement=TURN+sl},0.034448161,0.10218254,0.337123746,0.863067214,103,0.981942756,0.081810961
{Eye_Aperture=//} , {Eyebrows=Raised},0.031103679,0.206666667,0.150501672,0.860631383,93,0.957814564,0.086511628
{Eyebrows=Raised} , {Eye_Aperture=//},0.031103679,0.129526462,0.240133779,0.860631383,93,0.975903679,0.086511628
"{Cheeks=null,Eyegaze=+sr & +dn} ", {CA=null},0.037792642,0.559405941,0.067558528,0.859518891,113,0.792484311,0.055528256
"{CA=null,Cheeks=null} ", {ï..Body_Movement=LEAN+forward},0.080267559,0.126382306,0.635117057,0.858825219,240,0.976219708,0.114340162
{Eyegaze=+sl & +dn} , {ï..Body_Movement=null},0.03277592,0.317152104,0.103344482,0.857400352,98,0.92275357,0.074411541
{ï..Body_Movement=null} , {Eyegaze=+sl & +dn},0.03277592,0.088607595,0.369899666,0.857400352,98,0.98383036,0.074411541
"{ï..Body_Movement=LEAN+forward,Eye_Aperture=null} ", {CA=null},0.032441472,0.557471264,0.05819398,0.85654629,97,0.789019676,0.047948591
"{ï..Body_Movement=LEAN+forward,Cheeks=null} ", {CA=null},0.080267559,0.555555556,0.144481605,0.853602832,240,0.785618729,0.112254443
"{ï..Body_Movement=null,CA=null} ", {Head_Movement=TURN+sr},0.035785953,0.132425743,0.270234114,0.853346919,107,0.973768005,0.091845494
{ï..Body_Movement=LEAN+forward} , {CA=null},0.081605351,0.554545455,0.147157191,0.852050827,244,0.783837281,0.113912232
{CA=null} , {ï..Body_Movement=LEAN+forward},0.081605351,0.125385406,0.65083612,0.852050827,244,0.975106996,0.113912232
"{ï..Body_Movement=null,Cheeks=null} ", {Eyegaze=+sl & +dn},0.032107023,0.087992667,0.364882943,0.851450081,96,0.983167006,0.073619632
"{Cheeks=null,Eye_Aperture=//} ", {Eyebrows=Raised},0.030100334,0.204081633,0.147491639,0.849866409,90,0.954703713,0.084190833
"{ï..Body_Movement=LEAN+forward,Cheeks=null} ", {Eyebrows=Furrowed},0.033444816,0.231481481,0.144481605,0.842006849,100,0.94348229,0.086655113
"{Cheeks=null,Eyebrows=Furrowed} ", {ï..Body_Movement=LEAN+forward},0.033444816,0.12345679,0.27090301,0.838945006,100,0.972961515,0.086956522
{ï..Body_Movement=LEAN+forward} , {Eyebrows=Furrowed},0.033779264,0.229545455,0.147157191,0.83496461,101,0.941111473,0.086993971
{Eyebrows=Furrowed} , {ï..Body_Movement=LEAN+forward},0.033779264,0.122871046,0.274916388,0.83496461,101,0.972311774,0.086993971
"{CA=null,Eye_Aperture=null} ", {ï..Body_Movement=LEAN+forward},0.032441472,0.122320303,0.265217391,0.831222057,97,0.971701649,0.085387324
{Eye_Aperture=WD} , {CA=null},0.050167224,0.533807829,0.093979933,0.820187775,150,0.748969849,0.072219547
{CA=null} , {Eye_Aperture=WD},0.050167224,0.077081192,0.65083612,0.820187775,150,0.981689894,0.072219547
"{CA=null,Eyebrows=null} ", {ï..Body_Movement=LEAN+sl},0.034782609,0.103174603,0.337123746,0.813963228,104,0.973705863,0.081060016
"{Cheeks=null,Eye_Aperture=WD} ", {CA=null},0.047491639,0.527881041,0.089966555,0.811081353,142,0.739567587,0.068499759
"{ï..Body_Movement=null,Eyebrows=Furrowed} ", {CA=null},0.053846154,0.527868852,0.102006689,0.811062625,161,0.739548495,0.077033493
"{CA=null,Cheeks=null} ", {Eyegaze=+sl},0.057525084,0.090573986,0.635117057,0.808406624,172,0.976395939,0.083414161
"{Cheeks=null,Eyegaze=+sl} ", {CA=null},0.057525084,0.522796353,0.110033445,0.803268805,172,0.731687366,0.081787922
{Eyegaze=+sl} , {CA=null},0.058528428,0.52238806,0.112040134,0.802641469,175,0.731061873,0.083095916
{CA=null} , {Eyegaze=+sl},0.058528428,0.089928058,0.65083612,0.802641469,175,0.975702936,0.083095916
"{CA=null,Cheeks=null} ", {Eyebrows=Furrowed},0.139130435,0.219062665,0.635117057,0.79683378,416,0.92847861,0.180477223
"{CA=null,Cheeks=null} ", {Eye_Aperture=WD},0.047491639,0.074776198,0.635117057,0.795661324,142,0.979244227,0.069676153
"{Cheeks=null,Head_Movement=TURN+sl} ", {ï..Body_Movement=null},0.033110368,0.292899408,0.113043478,0.791834748,99,0.891104239,0.073605948
"{Cheeks=null,Eyebrows=Furrowed} ", {CA=null},0.139130435,0.513580247,0.27090301,0.789108396,416,0.717824219,0.177777778
"{Eye_Aperture=null,Eyegaze=+sl} ", {CA=null},0.033110368,0.512953368,0.064548495,0.788145206,99,0.716900306,0.048529412
{Eyebrows=Furrowed} , {CA=null},0.140802676,0.51216545,0.274916388,0.786934582,421,0.715742417,0.179377929
{CA=null} , {Eyebrows=Furrowed},0.140802676,0.216341213,0.65083612,0.786934582,421,0.925254235,0.179377929
"{Cheeks=null,Eye_Aperture=SQ} ", {ï..Body_Movement=null},0.039130435,0.287469287,0.136120401,0.777154764,117,0.884313228,0.083810888
"{ï..Body_Movement=null,Cheeks=null} ", {Head_Movement=TURN+sl},0.033110368,0.090742438,0.364882943,0.766440367,99,0.969588143,0.073551263
{Eye_Aperture=SQ} , {ï..Body_Movement=null},0.039799331,0.283333333,0.140468227,0.765973478,119,0.879209769,0.084577114
{ï..Body_Movement=null} , {Eye_Aperture=SQ},0.039799331,0.107594937,0.369899666,0.765973478,119,0.963163263,0.084577114
{Head_Movement=TURN+sl} , {ï..Body_Movement=null},0.033444816,0.282485876,0.118394649,0.763682431,100,0.878171332,0.073529412
{ï..Body_Movement=null} , {Head_Movement=TURN+sl},0.033444816,0.090415913,0.369899666,0.763682431,100,0.969240078,0.073529412
"{ï..Body_Movement=null,Cheeks=null} ", {Eye_Aperture=SQ},0.039130435,0.107241063,0.364882943,0.763454236,117,0.962781482,0.083931133
"{Eye_Aperture=null,Eyebrows=Furrowed} ", {CA=null},0.051170569,0.484177215,0.105685619,0.743931076,153,0.676906662,0.07254623
"{CA=null,Eye_Aperture=null} ", {Eyebrows=Raised},0.046488294,0.175283733,0.265217391,0.729942006,139,0.92136684,0.101311953
"{ï..Body_Movement=null,CA=null} ", {Eyebrows=Furrowed},0.053846154,0.199257426,0.270234114,0.724792826,161,0.905514001,0.109598366
"{CA=null,Eye_Aperture=null} ", {Eyebrows=Furrowed},0.051170569,0.192938209,0.265217391,0.701806868,153,0.898423913,0.104651163
"{Cheeks=null,Eyebrows=Raised} ", {Eye_Aperture=null},0.064882943,0.28115942,0.230769231,0.690769652,194,0.824906948,0.113251605
{Eye_Aperture=WD} , {Eyebrows=null},0.030769231,0.327402135,0.093979933,0.688419398,92,0.779685371,0.057107387
{Eyebrows=null} , {Eye_Aperture=WD},0.030769231,0.064697609,0.475585284,0.688419398,92,0.968692132,0.057107387
"{CA=null,Eyebrows=Raised} ", {Eye_Aperture=null},0.046488294,0.27744511,0.167558528,0.681644107,139,0.820666494,0.088030399
"{Cheeks=null,Eye_Aperture=null} ", {Eyebrows=Raised},0.064882943,0.163437237,0.396989967,0.680609106,194,0.90831944,0.113383986
{Eyebrows=Raised} , {Eye_Aperture=null},0.066220736,0.275766017,0.240133779,0.677518809,198,0.818763828,0.113989637
{Eye_Aperture=null} , {Eyebrows=Raised},0.066220736,0.162695152,0.407023411,0.677518809,198,0.907514417,0.113989637
"{Cheeks=null,Eyebrows=null} ", {Eyegaze=+sl},0.033444816,0.0723589,0.462207358,0.645830183,100,0.957223506,0.061842919
{Eyegaze=+sl} , {Eyebrows=null},0.034113712,0.304477612,0.112040134,0.640216638,102,0.753986823,0.06163142
{Eyebrows=null} , {Eyegaze=+sl},0.034113712,0.071729958,0.475585284,0.640216638,102,0.956574947,0.06163142
"{Cheeks=null,Eyegaze=+sl} ", {Eyebrows=null},0.033444816,0.303951368,0.110033445,0.639110119,100,0.753416775,0.060569352
{Eye_Aperture=SQ} , {Eyebrows=null},0.039464883,0.280952381,0.140468227,0.590750787,118,0.729318479,0.068445476
{Eyebrows=null} , {Eye_Aperture=SQ},0.039464883,0.082981716,0.475585284,0.590750787,118,0.937311488,0.068445476
"{Cheeks=null,Eye_Aperture=SQ} ", {Eyebrows=null},0.037123746,0.272727273,0.136120401,0.57345608,111,0.721070234,0.064610012
"{Cheeks=null,Eyebrows=null} ", {Eye_Aperture=SQ},0.037123746,0.080318379,0.462207358,0.571790366,111,0.934597097,0.065641632
